#   See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCA_002287175.1	PRJNA300714	SAMN04229035	LMVM00000000.1	na	2161	2161	Methanobacterium bryantii	strain=M.o.H.		latest	Contig	Major	Full	2017/09/06	ASM228717v1	University of California Santa Barbara	GCF_002287175.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/287/175/GCA_002287175.1_ASM228717v1		assembly from type material
GCA_000302455.1	PRJNA169610	SAMN02471940	AMPO00000000.1	representative genome	1204725	2162	Methanobacterium formicicum DSM 3637	strain=DSM 3637		latest	Contig	Major	Full	2012/10/02	ASM30245v1	Deparment of Genetics, University of Seville, Spain	GCF_000302455.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/302/455/GCA_000302455.1_ASM30245v1		
GCA_000762265.1	PRJNA49593	SAMN03085433		representative genome	2162	2162	Methanobacterium formicicum	strain=BRM9		latest	Complete Genome	Major	Full	2014/10/02	ASM76226v1	PGgRc	GCF_000762265.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/762/265/GCA_000762265.1_ASM76226v1		
GCA_000953115.1	PRJEB7090	SAMEA2724982		na	2162	2162	Methanobacterium formicicum			latest	Complete Genome	Major	Full	2014/09/10	DSM1535	CEBITEC	GCF_000953115.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/953/115/GCA_000953115.1_DSM1535		
GCA_001316325.1	PRJDB899	SAMD00016804	BBES00000000.1	na	1300163	2162	Methanobacterium formicicum JCM 10132	strain=JCM 10132		latest	Contig	Major	Full	2015/10/01	ASM131632v1	The University of Tokyo	GCF_001316325.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/316/325/GCA_001316325.1_ASM131632v1	many frameshifted proteins	assembly from type material
GCA_001458655.1	PRJEB7298	SAMEA2779801		na	2162	2162	Methanobacterium formicicum		Mb9	latest	Complete Genome	Major	Full	2015/11/16	Mb9	CEBITEC	GCF_001458655.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/458/655/GCA_001458655.1_Mb9		
GCA_000016525.1	PRJNA18653	SAMN02604313		representative genome	420247	2173	Methanobrevibacter smithii ATCC 35061	strain=ATCC 35061; PS; DSMZ 861		latest	Complete Genome	Major	Full	2007/06/04	ASM1652v1	Washington University Center for Genome Sciences	GCF_000016525.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/525/GCA_000016525.1_ASM1652v1		assembly from type material
GCA_000151225.1	PRJNA29303	SAMN00008834	ABYV00000000.2	na	521002	2173	Methanobrevibacter smithii DSM 2374	strain=DSM 2374		latest	Scaffold	Major	Full	2009/10/06	ASM15122v1	WUGSC	GCF_000151225.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/151/225/GCA_000151225.1_ASM15122v1		
GCA_000151245.1	PRJNA27821	SAMN00008835	ABYW00000000.1	na	483214	2173	Methanobrevibacter smithii DSM 2375	strain=DSM 2375		latest	Scaffold	Major	Full	2008/11/13	ASM15124v1	Washington University Genome Sequencing Center	GCF_000151245.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/151/245/GCA_000151245.1_ASM15124v1		
GCA_000189795.2	PRJNA59547	SAMN02436678	AEKU00000000.1	na	911116	2173	Methanobrevibacter smithii TS145A	strain=TS145A		latest	Contig	Major	Full	2011/02/17	ASM18979v2	Washington University in St.Louis	GCF_000189795.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/189/795/GCA_000189795.2_ASM18979v2		
GCA_000189815.2	PRJNA59641	SAMN02436664	AELL00000000.1	na	911117	2173	Methanobrevibacter smithii TS145B	strain=TS145B		latest	Contig	Major	Full	2011/02/17	ASM18981v2	Washington University in St.Louis	GCF_000189815.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/189/815/GCA_000189815.2_ASM18981v2		
GCA_000189835.2	PRJNA59643	SAMN02436679	AELM00000000.1	na	911118	2173	Methanobrevibacter smithii TS146A	strain=TS146A		latest	Contig	Major	Full	2011/02/17	ASM18983v2	Washington University in St.Louis	GCF_000189835.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/189/835/GCA_000189835.2_ASM18983v2		
